Date,Open,High,Low,Close,Adj Close,Volume
2015-09-22,14.770000,14.790000,14.750000,14.750000,14.750000,57
2015-09-23,14.740000,14.840000,14.740000,14.780000,14.780000,37
2015-09-24,14.745000,15.125000,14.745000,15.125000,15.125000,12
2015-09-25,15.065000,15.120000,15.030000,15.106000,15.106000,189
2015-09-27,null,null,null,null,null,null
2015-09-28,14.615000,14.620000,14.538000,14.538000,14.538000,21
2015-09-29,14.630000,14.640000,14.569000,14.569000,14.569000,37
2015-09-30,14.513000,14.513000,14.480000,14.513000,14.513000,19
2015-10-01,14.515000,14.515000,14.465000,14.506000,14.506000,10
2015-10-02,14.410000,15.257000,14.410000,15.257000,15.257000,15
2015-10-04,null,null,null,null,null,null
2015-10-05,15.140000,15.702000,15.140000,15.702000,15.702000,3
2015-10-06,15.590000,15.985000,15.590000,15.979000,15.979000,8
2015-10-07,15.850000,16.087999,15.850000,16.087999,16.087999,37
2015-10-08,15.610000,15.760000,15.610000,15.760000,15.760000,10
2015-10-09,15.809000,15.815000,15.809000,15.809000,15.809000,7
2015-10-11,null,null,null,null,null,null
2015-10-12,15.855000,15.855000,15.855000,15.855000,15.855000,1
2015-10-13,15.710000,15.897000,15.700000,15.897000,15.897000,5
2015-10-14,16.010000,16.105000,15.980000,16.101999,16.101999,15
2015-10-15,16.135000,16.152000,16.000000,16.152000,16.152000,18
2015-10-16,16.101999,16.101999,16.101999,16.101999,16.101999,16
2015-10-18,null,null,null,null,null,null
2015-10-19,15.820000,15.829000,15.820000,15.829000,15.829000,12
2015-10-20,15.905000,15.905000,15.890000,15.905000,15.905000,1
2015-10-21,15.696000,15.696000,15.696000,15.696000,15.696000,6
2015-10-22,15.823000,15.823000,15.823000,15.823000,15.823000,10
2015-10-23,15.818000,15.860000,15.818000,15.818000,15.818000,0
2015-10-25,null,null,null,null,null,null
2015-10-26,15.900000,15.900000,15.900000,15.900000,15.900000,5
2015-10-27,15.830000,15.858000,15.830000,15.858000,15.858000,1
2015-10-28,16.059999,16.288000,16.059999,16.288000,16.288000,7
2015-10-29,15.875000,15.975000,15.544000,15.544000,15.544000,45
